,Pronóstico,Límite inferior,Límite superior
2026-05-01,159.22466322004396,158.2935874084601,160.16121557796876
2026-06-01,160.09451700740644,158.03183653558864,162.18412022354016
2026-07-01,160.81116445700798,157.50366290912035,164.1881219546
2026-08-01,161.4010624994567,156.80457111737576,166.13229314886257
2026-09-01,161.88627316406075,155.99631311875672,167.99862070456712
2026-10-01,162.2851354822404,155.12083689323293,169.78031917540565
2026-11-01,162.61285472729728,154.20730247390662,171.47657794633616
2026-12-01,162.88201171600173,153.27617247110877,173.08985025479095
2027-01-01,163.1029982080498,152.34181483376264,174.62433445134016
2027-02-01,163.28438599061806,151.41424980429824,176.08508276330207
